name,en,it,es,de,ru,ar,jp,pl
meta_description,We Are Going All Out & You are $250 SIGN UP WITH OLYMPUS MARKETS & GET YOUR BONUS TODAY,We Are Going All Out & You are $250 SIGN UP WITH OLYMPUS MARKETS & GET YOUR BONUS TODAY,We Are Going All Out & You are $250 SIGN UP WITH OLYMPUS MARKETS & GET YOUR BONUS TODAY,We Are Going All Out & You are $250 SIGN UP WITH OLYMPUS MARKETS & GET YOUR BONUS TODAY,We Are Going All Out & You are $250 SIGN UP WITH OLYMPUS MARKETS & GET YOUR BONUS TODAY,We Are Going All Out & You are $250 SIGN UP WITH OLYMPUS MARKETS & GET YOUR BONUS TODAY,%coin% CFDに今日投資すれば、250ドルのボーナスが無料で手に入ります！,"Handluj najpopularniejszą kryptowalutą na rynku<br> Wobec USD, AUD i EUR!"
price,Price,Prezzo,Precio,Kurs,Цена,السعر,価格,Cena
daily_change,Daily Change,Var. Giornaliera,Cambio Diario,Tagesdifferenz,Сут. Изменение,التغير اليومي,前回比,Codzienna zmiana
daily_percentage,Daily Percentage,% Giornaliera,Porcentaje Diario,Tägl. %,Изм.цены/Cут. (%),النسبة المئوية اليومية,変動率,Dzienny Odsetek
update_speed,Updated every 15 seconds,Aggiornato ogni 15 secondi,Actualizado cada 15 segundos,Alle 15 Sekunden aktualisiert,Информация обновляется каждые 15 секунд,*يتم التحديث كل 15 ثانية,15秒毎に更新,*Aktualizacja co 15 sekund
our_traders,Our traders are TRADING <br>%coin% right NOW!<br>,I nostri trader stanno facendo<br>TRADING su %coin% ORA!<br>,¡Nuestros traders YA OPERAN %coin%!,Unsere Trader TRADEN JETZT gerade %coin%!,Наши трейдеры ТОРГУЮТ %coin% прямо СЕЙЧАС!,المتداولون معنا يقومو<br>بتداول بيتكوين الآن!<br>,今すぐレバレッジを利用して</br>%coin%FX取引を開始！,Nasi inwestorzy handlują %coin% właśnie teraz!
bitcoin_jump,Bitcoin has jumped a massive 510% in the last 6 months!,Bitcoin è schizzato di ben il 510% negli ultimi 6 mesi!,¡Bitcoin ha subido un 510% en los últimos 6 meses!,Bitcoin hat in den letzten sechs Monaten um unglaubliche 510% zugelegt!,За последние 6 месяцев цена биткоина выросла на целых 510%!,قفز سعر بيتكوين قفزة هائلة<br>بنسبة 510% في أخر 6 شهور!<br>,ビットコインはこの6カ月間でなんと510％も上昇しました！,Cena Bitcoina wzrosła aż o 510% w ciągu ostatnich 6 miesięcy!
call_to_action_text,Get Your Olympus Markets Trading Account Now & Reap the Rewards of Trading %coin% CFDs. Act Now!,Apri un conto di trading Olympus Markets e approfitta dei vantaggi del fare trading con i CFD su %coin%. Agisci ora!,Consigue tu Cuenta de Trading Olympus Markets Ahora y Cosecha los Frutos de Operar CFD Sobre %coin%. ¡Actúa Ahora!,Eröffnen Sie jetzt Ihr Tradingkonto bei Olympus Markets und Nutzen Sie die Vorteile des Handels mit CFDs auf %coin%. Verlieren Sie keine Zeit!,Откройте торговый счет в Olympus Markets прямо сейчас и пожинайте плоды торговли CFD на %coin%. Действуйте!,احصل على حساب التداول الخاص بك مع Olympus Markets الآن واستمتع بمزايا تداول عقود الفروقات على بيتكوين. تصرف الآن!,思い立ったが吉日！今すぐOlympus Marketsの取引口座を開設し仮想通貨FXを開始して素早く利益その手に！,"Otwórz rachunek handlowy w Olympus Markets już teraz i skorzystaj
z handlu CFD na %coin%. Działaj teraz!"
trade_button,Trade %coin% now!,FAI TRADING SU %coin% ORA!,¡OPERA %coin% AHORA!,JETZT %coin% TRADEN!,ТОРГОВАТЬ %coin%!,تداول إيثيريوم الآن! %coin%!,今すぐ%coin%FX取引を始めよう！,HANDLUJ %coin% JUŻ TERAZ!
form_join_us,JOIN OLYMPUS MARKETS TODAY,REGISTRATI OGGI SU OLYMPUS MARKETS,VEN A OLYMPUS MARKETS HOY,HEUTE NOCH BEI OLYMPUS MARKETS EINSTEIGEN,ПРИСОЕДИНИТЬСЯ К OLYMPUS MARKETS,انضم إلى OLYMPUS MARKETS اليوم,Olympus Marketsで今すぐ利益を手に入れよう,DOŁĄCZ DO OLYMPUS MARKETS JUŻ DZIŚ
form_first_name,First Name,Nome,Nombre,Vorname,Имя,الاسم الأول,名,Imię
form_last_name,Last Name,Cognome,Apellido,Nachname,Фамилия,الاسم الأخير,姓,Nazwisko
form_email,Email,Email,Correo Electrónico,E-Mail,Email,البريد الإلكتروني,Email,Email
form_accept_text,I am over 18 years of age and I accept the,Ho più di 18 anni e accetto i,Tengo más de 18 años y acepto los,Ich bin volljährig und akzeptiere die,Я старше 18 лет и я принимаю,عمرى أكبر من 18 عامًا وأقبل,私は18歳以上であり、,Mam ukończone 18 lat i akceptuję
form_accept_link,Terms & Conditions,Termini e Condizioni,Términos y Condiciones,AGB,Условия Использования,الشروط والأحكام,利用規約を確認及び承認しました,Warunki i zasady
second_title,"Trade the most popular Cryptocurrency in the market against the USD, AUD & EUR!","Fai trading sulla Criptovaluta più popolare sul mercato contro USD, AUD ed EUR!","¡Opera las Criptomonedas más populares del mercado frente al USD, AUD y EUR!","Handeln Sie die beliebteste Kryptowährung am Markt gegen den USD, AUD und EUR!","Торгуйте самой популярной на рынке криптовалютой в паре с USD, AUD и EUR!",تداول أشهر عملة رقمية في السوق مقابل الدولار الأمريكي والدولار الأسترالي واليورو!,市場で最も人気のある仮想通貨をJPYなどの通貨に対して取引しましょう！,"Handluj najpopularniejszą kryptowalutą na rynku<br> Wobec USD, AUD i EUR!"
already_registered,Already registered,Già registrato,Ya registrado,Bereits registriert,Уже зарегистрированы,مسجل بالفعل,すでに登録,Już zarejestrowany
hurray,Hurray!,Yuppi!,¡Genial!,Hurra!,Ура!,اسرع!,おめでとうございます！,Świetnie wieści!
footer_registred_brand,,,,,,,,
footer,"<p>EN COMPANY INFORMATION: F1Markets Limited is authorised and regulated by the Cyprus Securities and Exchange Commission with CIF Licence number 267/15. F1Markets Limited is operating the website www.strattonmarkets.com for the provision of services within the European Economic Area and Switzerland. RISK WARNING: CFDs are complex instruments and come with a high risk of losing money rapidly due to leverage. Between 74-89% of retail investor accounts lose money when trading CFDs. you should consider whether you understand how CFDs work and whether you can afford to take the high risk of losing your money. please read our risk disclosure document. Stratton Markets does not issue advice, recommendations or opinions in relation to acquiring, holding or disposing of any financial product. F1Markets Limited is not a financial adviser and all services are provided on an execution only basis. Demo accounts may not behave in the exact same manner as real accounts. Leverage and regional restrictions apply � contact us for more information. During times of markets volatility trading risks may increase. Virtual currencies values can widely fluctuate and may result in significant losses. DISCLAIMER: This material is considered as marketing communication. Any opinions, news, research, analysis, prices or other information provided by F1Markets Ltd do not constitute investment recommendations and/or advice. F1Markets Ltd does not take into account your personal investment objectives or financial situation. Past performance does not constitute a reliable indicator of future results. Future forecasts do not constitute a reliable indicator of future performance. F1Markets Ltd makes no representation and assumes no liability as to the accuracy or completeness or validity or timeliness of the information provided, nor any loss arising from any investment based on a communication, forecast or other information supplied by an employee of F1Markets Ltd, a third party or otherwise. Furthermore, this material has not been prepared in accordance with legal requirements promoting the independence of investment research and it is not subject to any prohibition on dealing ahead of the dissemination of investment research. All expressions of opinion are subject to change without notice. Any opinions made may be personal to the author and may not reflect the opinions of Stratton Markets. Trading alerts, signals or market updates provided by Stratton Markets should not be considered as investment advice or investment recommendation. The decision to act on any signal or alert is yours and is taken at your own risk. Research before you trade.</p>","<p>Olympus Markets non offre contratti per differenza (CFD) ai residenti di alcune giurisdizioni, incluse, senza limiti Stati Uniti. Olympus Markets fornisce servizi di esecuzione ed effettua transazioni principal-to-principal con i propri clienti ai prezzi determinati da Olympus Markets e presentati sul sito di Olympus Markets.</p><p>l’intero investimento iniziale, in particolar modo se il trader sceglie di investire l’intero capitale su una singola operazione. Suggeriamo vivamente ai trader di scegliere la strategia di gestione del denaro più adeguata che limiti il numero totale di operazioni consecutive o investimenti totali effettuati. Se si desidera ricevere una strategia di gestione del denaro adeguata, contattare il team di supporto.</p>","<p>Olympus Markets no ofrece contratos por diferencia (CFD) a residentes de algunas jurisdicciones, entre ellas los Estados Unidos de América. Olympus Markets proporciona servicios de ejecución y entra en transacciones de principal a principal con sus clientes a los precios determinados por Olympus Markets y que aparecen en la página web de Olympus Markets.</p><p>Aviso de riesgo: Operar CFD conlleva un nivel de riesgo elevado y recomendamos a nuestros clientes encarecidamente que lean con cuidado nuestros Términos y condiciones. Aunque el riesgo a la hora de operar CFD está fijado para cada operación individual, las posiciones se realizan en tiempo real y cabe la posibilidad de perder toda la inversión original, en especial si un trader decide colocar toda su inversión en una sola operación en tiempo real. Recomendamos encarecidamente que los traders elijan una estrategia de gestión del capital adecuada que limite las operaciones consecutivas totales o toda la inversión pendiente. Si te interesa aplicar una estrategia de gestión de capital adecuada, ponte en contacto con nuestro equipo de atención al cliente.</p>","<p>Olympus Markets bietet den Einwohnern bestimmter Rechtsordnungen keine Differenzkontrakte (CFDs) an, darunter die Vereinigten Staaten von Amerika. Olympus Markets stellt Ausführungsdienstleistungen zur Verfügung und schließt mit seinen Kunden Geschäfte auf „Principal-to-Principal“-Basis ab, d.&nbsp;h. beide Seiten treten als Vertragspartner auf, wobei diese Geschäfte zu den von Olympus Markets festgelegten Preisen abgewickelt werden, die auf der Website von Olympus Markets veröffentlicht sind.</p><p>Risikowarnung: Der Handel mit CFDs birgt ein beträchtliches Risiko und wir empfehlen Ihnen dringend, sich unsere AGB durchzulesen. Obwohl das Risiko im CFD-Handel für jeden einzelne Transaktion fix ist, handelt es sich dabei um Transaktionen mit Echtgeld, von daher besteht die Möglichkeit des Verlustes Ihrer Ersteinlage, insbesondere wenn Trader den gesamten eingezahlten Betrag in eine einzige Transaktion investieren. Wir empfehlen Tradern dringend, eine sinnvolle Money-Management-Strategie zu wählen, die die Zahl der aufeinanderfolgenden Transaktionen oder den gesamten ausstehenden Investitionsbetrag begrenzt. Wenn Sie eine sinnvolle Money-Management-Strategie benötigen, wenden Sie sich bitte an unser Support-Team.</p>","<p>Olympus Markets не предлагает контракты на разницу цен (CFD) жителям некоторых стран, в том числе США. Olympus Markets предоставляет услуги по исполнению торговых сделок и заключает с клиентами сделки в формате «принципал-принципал» по определенным Olympus Markets ценам, которые указываются на сайте Olympus Markets.</p><p>Предупреждение о рисках. Торговля CFD сопряжена со значительным риском, поэтому мы настоятельно рекомендуем вам ознакомиться с нашими Условиями. Хотя при торговле CFD риск по каждой отдельной сделке является фиксированным, торги ведутся в реальном времени, и трейдер может потерять свои первоначальные инвестиции, особенно если вложит все средства в одну сделку. Настоятельно рекомендуем трейдерам использовать надлежащую стратегию управления средствами, которая ограничивает общее количество заключенных подряд сделок или общую сумму инвестиций. Если вы хотите получить надлежащую стратегию управления средствами, обратитесь в нашу службу поддержки.</p>",<p>لا تقدم شركة Olympus Markets عقود الفروقات للمقيمين في بعض الولايات الفضائية والتي تشمل على سبيل المثال لا الخصر الولايات المتحدة الأمريكية. تقدم Olympus Markets خدمات التنفيذ وتدخل في معاملات طرف رئيسي مع طرف رئيسي مع عملائها وفقًا للأسعار التي تحددها Olympus Markets على النحو الذي يظهر على موقع Olympus Markets الإلكتروني.</p><p>الإفصاح عن المخاطر: ينطوي تداول عقود الفروقات على مخاطرة كبيرة ونحن ننصحك بشدة بالإطلاع على الشروط والأحكام الخاصة بنا. وعلى الرغم من أن المخاطرة عند تداول عقود الفروقات تكون محددة لكل صفقة على حدة، ولكن الصفقات حية ومن الممكن أن تخسر استثمارك المبدئي، ولاسيما إذا قرر المتداول وضع استثماراته كلها في صفقة تداول حقيقية واحدة. ومن المستحسن بشدة أن يختار المتداولون إستراتيجية مناسبة لإدارة الأموال والتي تضع حدودًا على إجمالي الاستثمارات المتتالية أو إجمالي الاستثمارات المعلقة. إذا كنت تريد الحصول على إستراتيجية مناسبة لإدارة الأموال، يرجى التواصل مع فريق الدعم بالشركة.</p>,Olympus Marketsは、米国を含む（但しこれらに限定されない）特定の裁判管轄圏内の住民に差金決済契約（CFD）を提供していません。Olympus Marketsは、エクセキューションサービスを提供し、Olympus Marketsのウェブサイトに掲載されている通りの、Olympus Marketsが決定した価格で顧客との相対取引を行います。リスク開示：CFD取引には重大なリスクが伴うため、利用規約をチェックすることを強くお勧めします。CFD取引を行う際のリスクは個々の取引ごとに固定されていますが、取引はライブトレーディングであり、特に保有投資額のすべてを一回の取引に投資することを選択した場合、当初の投資額を失う可能性があります。連続取引回数や総投資額を制限するなど、適切なマネーマネジメント戦略を選択することを強く推奨します。適切なマネーマネージメント戦略を入手されたい場合は、サポートチームまでお問い合わせください。,"<p>Olympus Markets nie oferuje Kontraktów na Różnicy Kursowej (CFD) rezydentom niektórych jurysdykcji, w tym, ale nie wyłącznie, Stanów Zjednoczonych Ameryki. Olympus Markets świadczy usługi realizacji zleceń i zawiera główne transakcje ze swoimi klientami po cenach ustalonych przez Olympus Markets, które pojawiają się na stronie internetowej Olympus Markets.</p><p>Ujawnianie informacji na temat ryzyka: Handel kontraktami CFD wiąże się z dużym ryzykiem i zdecydowanie zalecamy zapoznanie się z naszymi Warunkami handlowymi. Chociaż ryzyko związane z handlem kontraktami CFD jest stałe dla każdej pojedynczej transakcji, transakcje te są transakcjami na żywo i możliwa jest strata początkowej inwestycji, szczególnie jeśli inwestor zdecyduje się umieścić całą swoją inwestycję w pojedynczej transakcji na żywo. Zaleca się, aby inwestorzy wybierali właściwą strategię zarządzania środkami pieniężnymi, która ogranicza całkowitą wartość inwestycji. Jeśli chcesz otrzymać odpowiednią strategię zarządzania środkami, skontaktuj się z naszym zespołem pomocy.</p>"
